Feature ID,Chemical Name,Ionization Mode,DTXCID,Correct SSM structure,Number of candidate structures for feature,Chemical metadata score,MS2 score (pos),MS2 score (neg),Hazard score,Chemical metadata rank,MS2 rank (pos),MS2 rank (neg),Hazard rank
5167,ibuprofen,ESI-,DTXCID50870836,FALSE,368,0.01,,1.21,2.33,226,,41,20
5167,ibuprofen,ESI-,DTXCID50877148,FALSE,368,0.01,,0.69,1.50,193,,193,30
5167,ibuprofen,ESI-,DTXCID50878276,FALSE,368,0.01,,0.65,2.50,219,,227,17
5167,ibuprofen,ESI-,DTXCID50919092,FALSE,368,0.01,,0.87,0.00,230,,99,33
5167,ibuprofen,ESI-,DTXCID50942608,FALSE,368,0.02,,0.50,1.50,160,,299,30
5167,ibuprofen,ESI-,DTXCID50948549,FALSE,368,0.01,,0.68,2.50,219,,209,17
5167,ibuprofen,ESI-,DTXCID50952929,FALSE,368,0.01,,0.77,1.50,218,,142,30
5167,ibuprofen,ESI-,DTXCID50961233,FALSE,368,0.01,,0.66,1.50,219,,216,30
5167,ibuprofen,ESI-,DTXCID50969552,FALSE,368,0.02,,0.68,1.50,189,,200,30
5167,ibuprofen,ESI-,DTXCID50970820,FALSE,368,0.01,,0.51,1.50,220,,293,30
5167,ibuprofen,ESI-,DTXCID50987756,FALSE,368,0.01,,0.64,2.00,221,,231,23
5167,ibuprofen,ESI-,DTXCID601002401,FALSE,368,0.03,,0.75,1.50,149,,155,30
5167,ibuprofen,ESI-,DTXCID601045223,FALSE,368,0.01,,0.67,1.50,230,,214,30
5167,ibuprofen,ESI-,DTXCID60138156,FALSE,368,0.05,,1.35,2.50,68,,32,17
5167,ibuprofen,ESI-,DTXCID6016312,FALSE,368,0.93,,0.46,2.69,5,,325,10
5167,ibuprofen,ESI-,DTXCID60232103,FALSE,368,0.08,,0.54,2.50,45,,275,17
5167,ibuprofen,ESI-,DTXCID60232608,FALSE,368,0.02,,0.38,1.50,189,,359,30
5167,ibuprofen,ESI-,DTXCID60269136,FALSE,368,0.01,,0.84,2.50,219,,115,17
5167,ibuprofen,ESI-,DTXCID60343561,FALSE,368,0.04,,0.98,1.50,98,,57,30
5167,ibuprofen,ESI-,DTXCID60356393,FALSE,368,0.03,,0.68,2.00,142,,207,23
5167,ibuprofen,ESI-,DTXCID60384595,FALSE,368,0.01,,0.79,1.50,230,,135,30
5167,ibuprofen,ESI-,DTXCID60396532,FALSE,368,0.01,,1.30,2.50,205,,38,17
5167,ibuprofen,ESI-,DTXCID6041006,FALSE,368,0.19,,0.41,2.45,16,,347,18
5167,ibuprofen,ESI-,DTXCID60412049,FALSE,368,0.02,,0.84,1.50,184,,116,30
5167,ibuprofen,ESI-,DTXCID60413814,FALSE,368,0.02,,0.41,1.50,172,,350,30
5167,ibuprofen,ESI-,DTXCID60425573,FALSE,368,0.03,,1.72,1.50,124,,1,30
5167,ibuprofen,ESI-,DTXCID6045036,FALSE,368,0.04,,0.69,1.88,100,,196,27
5167,ibuprofen,ESI-,DTXCID604702,FALSE,368,1.70,,0.29,3.61,2,,363,3
5167,ibuprofen,ESI-,DTXCID6047993,FALSE,368,0.15,,0.56,1.88,23,,260,27
5167,ibuprofen,ESI-,DTXCID60728435,FALSE,368,0.01,,0.70,1.50,212,,186,30
5167,ibuprofen,ESI-,DTXCID60756450,FALSE,368,0.01,,0.49,2.50,219,,301,17
5167,ibuprofen,ESI-,DTXCID60814867,FALSE,368,0.08,,0.48,1.00,44,,306,32
